Temperature_of_Mass,Jacket_Return_Temperature,Chemical_Reactor_Pressure,Chemical_Reactor_RPM
22.16672927,54.84180238,156.4573393,1127
27.97367728,67.41211038,175.3983992,930
27.96258669,54.42475229,120.800698,1122
20.23570331,68.70575619,159.7664516,904
21.7891313,69.88644529,171.9392508,985
26.98526652,55.39142366,194.1155111,1101
26.93359466,79.21666702,161.2339645,1146
25.58255677,73.98174131,130.5284403,1246
25.13235552,78.32263427,135.8068594,1088
27.16847271,78.26364832,107.4585787,1248
24.40947368,71.70002118,196.4376683,1159
21.55452778,59.4109513,199.3037997,958
25.4008261,58.09871319,133.6168589,1231
23.97128767,57.57233178,160.6857618,962
27.27557333,75.85780804,144.3948036,957
24.77231649,78.86345996,172.0694844,875
26.52190297,75.63267283,146.2219441,978
27.50169594,57.16675316,135.8869909,1088
27.45156976,56.03766572,142.7079503,1124
26.07319198,72.51145076,111.2556849,1101
20.12784659,65.86968448,129.5148728,943
25.23286576,78.46729681,196.0275205,979
26.76701955,75.64448401,122.6227496,1120
23.68100178,61.45845172,139.1793262,958
22.7487292,58.37156001,115.9678915,1006
23.77894865,66.51986807,106.6828862,1029
20.96455601,79.69089894,154.5332132,1123
20.78592259,65.29269016,103.4772647,1065
25.11043667,55.15770098,144.2583529,1103
22.68184533,52.52371244,135.4336646,1240
20.41346181,68.25001756,149.3519666,1073
25.9607522,63.01255263,161.7321392,1070
23.04128561,51.91815609,158.672644,1160
27.75355832,76.15733106,136.4938766,1104
24.00292559,65.82248682,151.8359291,1061
23.16751236,72.02466178,108.568656,1128
22.15257002,69.22827303,123.8795787,1185
24.13204775,58.97135684,198.9078913,1080
21.01869315,78.42549048,156.2608522,857
22.29937238,77.11259526,198.9352207,1027
24.31043292,53.79781516,176.5765656,954
24.57984473,62.07487181,136.5018003,1008
21.66356276,58.98852559,125.0869815,921
20.80283976,64.02732841,194.5237631,1060
26.13170508,53.75762077,193.794385,1161
23.19674263,62.09912137,161.1484662,926
23.04597083,60.42410342,184.1956279,959
21.29635794,70.38590257,152.0673778,864
23.57813465,59.06382153,157.7552949,910
21.10120468,61.27823143,167.6883007,1152
25.89390515,52.80960134,134.9551828,1064
25.40395289,53.74877905,183.0242931,1102
24.96394339,73.98018855,147.3036687,928
27.61855994,68.57843625,107.0112451,1081
23.2137419,60.96980356,120.3341689,1121
20.82456479,68.42308178,169.7040522,943
22.55752776,79.44981984,136.0020244,903
23.27329063,69.18427027,118.8400539,1118
20.21874159,55.77531264,199.7096077,1182
27.89807501,67.45379494,168.6683439,1141
22.29113361,50.31811132,142.2570633,1075
22.70496758,63.12326633,160.4408391,899
22.42340604,61.96340566,191.0947116,1093
21.28759887,68.8968731,161.9155511,1206
23.84547808,68.12268847,161.4401525,1005
23.52348037,63.61596973,157.9264985,1178
25.07585085,79.87610426,155.786929,1056
20.84726806,56.9018739,122.7056357,1221
23.68034985,65.85271418,110.2081662,1233
23.68156548,52.03386822,111.37207,1015
23.80283827,70.32497049,101.3276841,1180
20.35653968,61.40667324,166.2168397,882
22.90274946,52.68508396,148.153791,1181
23.21045931,54.28747568,185.0921654,1167
24.1270036,59.43654941,144.2683221,1085
21.91339318,58.31518364,185.3084109,946
20.30989826,62.84480961,187.2156579,965
21.77924325,68.02218842,147.3372309,959
25.87503371,70.57317872,124.5551601,936
22.1026292,79.35277372,190.273948,910
27.33259336,65.68200244,191.6566382,1239
21.4939483,59.3065201,195.5705379,1043
24.65095329,68.57596208,152.9075069,1120
22.26468788,73.62214504,154.3796056,1238
26.31212552,56.53779077,146.0065213,1232
